,infection_site,description,OriginalReadCode,CleansedReadCode,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,Term
0,pneumonia,Chest infection,H06z0-1,H06z011,546411000006111.0,195742007.0,301131016.0,Chest infection
1,Viral URTI,Upper respiratory infection NOS,H05z,H05z.00,396089010.0,54150009.0,89996011.0,Upper respiratory infection NOS
2,other,Mumps,A72,A72..00,61702015.0,36989005.0,61702015.0,Mumps
3,bacterial URTI,Acute tonsillitis,H03,H03..00,29982014.0,17741008.0,29982014.0,Acute tonsillitis
4,Viral URTI,Acute laryngitis,H040,H040.00,12028011.0,6655004.0,12028011.0,Acute laryngitis
5,other,Chickenpox - varicella,A52,A52..00,546761000006119.0,38907003.0,491830017.0,Chickenpox - varicella
6,UTI,"Urinary tract infection, site not specified NOS",K190z,K190z00,304323018.0,68566005.0,113884018.0,"Urinary tract infection, site not specified NOS"
7,pneumonia,Wheezy bronchitis,H302,H302.00,2163183015.0,405944004.0,2163183015.0,Wheezy bronchitis
8,Genital,Orchitis,K240,K240.00,410561019.0,274718005.0,410561019.0,Orchitis
9,Cellulitis,Cellulitis of external ear,M038,M038.00,158680013.0,232214001.0,347928014.0,Cellulitis of external ear
10,bacterial URTI,Sinusitis,H01-1,H01..11,61668014.0,36971009.0,61668014.0,Sinusitis
11,other,Glandular fever,A75-1,A75..11,406382010.0,271558008.0,406382010.0,Glandular fever
12,bacterial URTI,Otitis media NOS,F52z,F52z.00,399498017.0,65363002.0,108597015.0,Otitis media NOS
13,other,Gonorrhoea,A98z-1,A98z.11,477448018.0,15628003.0,477448018.0,Gonorrhoea
14,pneumonia,Respiratory tract infection,H06z1-1,H06z111,411488017.0,275498002.0,411488017.0,Respiratory tract infection
15,other,Measles,A55,A55..00,24142018.0,14189004.0,24142018.0,Measles
16,Cellulitis,Cellulitis and abscess NOS,M03z,M03z.00,540621000006119.0,70759006.0,117539013.0,Cellulitis and abscess NOS
17,Viral URTI,Throat infection - pharyngitis,H02-3,H02..13,100101000006117.0,405737000.0,2157515013.0,Throat infection - pharyngitis
18,pneumonia,Acute bronchitis,H060,H060.00,18268014.0,10509002.0,18268014.0,Acute bronchitis
19,Diverticulitis,Diverticulitis,J511,J511.00,450775010.0,307496006.0,450775010.0,Diverticulitis
20,Viral URTI,Common cold,H00-1,H00..11,136463019.0,82272006.0,136463019.0,Common cold
21,bacterial URTI,Acute myringitis without otitis media,F540,F540.00,299102019.0,194311006.0,299102019.0,Acute myringitis without otitis media
22,UTI,Cystitis,K15,K15..00,65119018.0,38822007.0,65119018.0,Cystitis
23,other,Herpes zoster,A53,A53..00,8902018.0,4740000.0,494820013.0,Herpes zoster
24,Viral URTI,Acute pharyngitis NOS,H02z,H02z.00,459581000006119.0,363746003.0,486416017.0,Acute pharyngitis NOS
25,Neuro,Meningococcal meningitis,A360,A360.00,296779018.0,192644005.0,296779018.0,Meningococcal meningitis
26,bacterial URTI,Scarlet fever,A341-1,A341.11,50618013.0,30242009.0,50618013.0,Scarlet fever
27,other,German measles,A56-1,A56..11,61157013.0,36653000.0,61157013.0,German measles
28,Puerperal,Mastitis,K310-3,K310.13,75366010.0,45198002.0,75366010.0,Mastitis
29,Hepatobiliary,Acute cholecystitis,J650,J650.00,108454010.0,65275009.0,108454010.0,Acute cholecystitis
30,other,Shingles,A53-1,A53..11,8904017.0,4740000.0,8904017.0,Shingles
31,other,Herpes simplex,A54,A54..00,146891016.0,88594005.0,146891016.0,Herpes simplex
32,Viral URTI,Influenza,H27,H27..00,11203012.0,6142004.0,11203012.0,Influenza
33,Genital,Epididymo-orchitis,K242,K242.00,2475615019.0,197983000.0,2475615019.0,Epididymo-orchitis
34,pneumonia,Pneumonia due to unspecified organism,H26,H26..00,301408011.0,312342009.0,456043010.0,Pneumonia due to unspecified organism
35,Genital,Acute salpingitis,K4003,K400300,15708013.0,8912009.0,15708013.0,Acute salpingitis
36,other,Toxaemia NOS,L124-2,L124.12,355622019.0,15394000.0,477346015.0,Toxaemia NOS
37,pneumonia,Pulmonary tuberculosis,A11,A11..00,239551014.0,154283005.0,239551014.0,Pulmonary tuberculosis
38,Genital,Endocervicitis unspecified,K4201,K420100,304728013.0,31354001.0,52424018.0,Endocervicitis unspecified
39,Cellulitis,Cellulitis and abscess of leg NOS,M036z,M036z00,308354012.0,449702005.0,2912778018.0,Cellulitis and abscess of leg NOS
40,Gastrointestinal,Salmonella food poisoning,A020-2,A020.12,443811013.0,302229004.0,443811013.0,Salmonella food poisoning
41,bacterial URTI,Diphtheria,A32,A32..00,1777082016.0,397428000.0,1777082016.0,Diphtheria
42,bacterial URTI,Whooping cough,A33,A33..00,46589015.0,27836007.0,46589015.0,Whooping cough
43,Cardiovascular,Acute rheumatic fever,G0,G0...00,44257011.0,26424001.0,44257011.0,Acute rheumatic fever
